Date,Percentage
Oct-88,0
Nov-88,0
Jan-89,0
Jul-89,0
Oct-89,0
Jan-90,0
May-90,0
Aug-90,0
Oct-90,0
Dec-90,0
Jan-91,0
Feb-91,0
Mar-91,0
May-91,0
Aug-91,0
Sep-91,0
Oct-91,0
Dec-91,0
Feb-92,0
Mar-92,0
Apr-92,0
May-92,0
Jun-92,0
Jul-92,0
Nov-92,0
Dec-92,0
Jan-93,0
Feb-93,0
Apr-93,0
May-93,0
Aug-93,0
Sep-93,0
Oct-93,0
Dec-93,0
Jan-94,0
Feb-94,0
Mar-94,0
Apr-94,0
May-94,0
Jun-94,0
Jul-94,0
Aug-94,0
Sep-94,0
Oct-94,0
Nov-94,0
Dec-94,0
Jan-95,0
Feb-95,0
Mar-95,0
Apr-95,0
May-95,0
Jul-95,0
Aug-95,0
Sep-95,0
Oct-95,0
Nov-95,0
Dec-95,0
Jan-96,0
Feb-96,0
Mar-96,0
Apr-96,0
May-96,25
Jun-96,0
Jul-96,0
Aug-96,0
Sep-96,14.29
Oct-96,0
Nov-96,0
Dec-96,0
Jan-97,5.66
Feb-97,0
Mar-97,0
Apr-97,0
May-97,0
Jun-97,7.69
Jul-97,2.56
Aug-97,8.33
Sep-97,5
Oct-97,0
Nov-97,0
Dec-97,0
Jan-98,0
Feb-98,0
Mar-98,0
Apr-98,0
May-98,0
Jun-98,0
Jul-98,3.23
Aug-98,5.88
Sep-98,0
Oct-98,6.67
Nov-98,0
Dec-98,4
Jan-99,2.2
Feb-99,3.45
Mar-99,0
Apr-99,7.69
May-99,3.7
Jun-99,5.41
Jul-99,12.5
Aug-99,8.33
Sep-99,8.33
Oct-99,5.26
Nov-99,8.43
Dec-99,3.48
Jan-00,2.94
Feb-00,3.49
Mar-00,0
Apr-00,5.06
May-00,1.82
Jun-00,1.68
Jul-00,1.35
Aug-00,0
Sep-00,0
Oct-00,0.74
Nov-00,4.11
Dec-00,0
Jan-01,0.77
Feb-01,2.56
Mar-01,1.9
Apr-01,0
May-01,3.81
Jun-01,0.95
Jul-01,0.52
Aug-01,1.94
Sep-01,1.48
Oct-01,2.11
Nov-01,1.64
Dec-01,3.47
Jan-02,0
Feb-02,20
Mar-02,2.88
Apr-02,2.22
May-02,0.67
Jun-02,1.96
Jul-02,0.73
Aug-02,1.95
Sep-02,0
Oct-02,2.87
Nov-02,0
Dec-02,22.18
Jan-03,5.41
Feb-03,2.04
Mar-03,1.64
Apr-03,0.74
May-03,3.75
Jun-03,3.1
Jul-03,0
Aug-03,2.88
Sep-03,2.86
Oct-03,3.26
Nov-03,6.12
Dec-03,42.33
Jan-04,9.23
Feb-04,5.49
Mar-04,1.4
Apr-04,6.54
May-04,5.88
Jun-04,1.92
Jul-04,1.96
Aug-04,3.69
Sep-04,4.44
Oct-04,3.96
Nov-04,3.47
Dec-04,7.8
Jan-05,3.1
Feb-05,2.86
Mar-05,4.88
Apr-05,3.15
May-05,3.7
Jun-05,5.2
Jul-05,4.1
Aug-05,2.14
Sep-05,6.39
Oct-05,8.53
Nov-05,13.15
Dec-05,13.62
Jan-06,15.62
Feb-06,13.9
Mar-06,9.71
Apr-06,13.16
May-06,12.99
Jun-06,13.28
Jul-06,14.34
Aug-06,13.1
Sep-06,10.99
Oct-06,12.16
Nov-06,13.68
Dec-06,13.78
Jan-07,12.58
Feb-07,18.87
Mar-07,21.74
Apr-07,11.94
May-07,14.98
Jun-07,15.54
Jul-07,16.26
Aug-07,28.33
Sep-07,89.98
Oct-07,83.57
Nov-07,86.25
Dec-07,86.83
Jan-08,89.02
Feb-08,93.02
Mar-08,90.55
Apr-08,87.09
May-08,92.99
Jun-08,94.27
Jul-08,88.63
Aug-08,95.11
Sep-08,90.53
Oct-08,85.85
Nov-08,95.22
Dec-08,93.21
Jan-09,82.52
Feb-09,94.92
Mar-09,87.13
Apr-09,79.96
May-09,89.65
Jun-09,90.71
Jul-09,84.63
Aug-09,85.12
Sep-09,79.86
Oct-09,74.79
Nov-09,82.59
Dec-09,86.14
Jan-10,81.82
Feb-10,82.79
Mar-10,89.51
Apr-10,74.4
May-10,92.92
Jun-10,88.64
Jul-10,76.16
Aug-10,76.5
Sep-10,84.05
Oct-10,55.86
Nov-10,83.21
Dec-10,86.43
Jan-11,70.28
Feb-11,81.41
Mar-11,87.64
Apr-11,70.83
May-11,87.16
Jun-11,86.05
Jul-11,62.01
Aug-11,89.15
Sep-11,92.8
Oct-11,75.41
Nov-11,90.06
Dec-11,87.61
Jan-12,66.25
Feb-12,83.57
Mar-12,82.49
Apr-12,90.35
May-12,70.51
Jun-12,81.11
Jul-12,73.13
Aug-12,87.72
Sep-12,65.22
Oct-12,66.54
Nov-12,90.34
Dec-12,78.52
Jan-13,69.98
Feb-13,75.12
Mar-13,80.14
Apr-13,54.07
May-13,94.13
Jun-13,76.96
Jul-13,66.67
Aug-13,89.95
Sep-13,84.93
Oct-13,68.76
Nov-13,88.58
Dec-13,88.84
Jan-14,65.8
Feb-14,92.81
Mar-14,89.5
Apr-14,73.78
May-14,89.71
Jun-14,86.22
Jul-14,74.46
Aug-14,83.66
Sep-14,95.25
Oct-14,86.55
Nov-14,92.08
Dec-14,87.56
Jan-15,69.16
Feb-15,85.25
Mar-15,82.61
Apr-15,67.57
May-15,86.09
Jun-15,90.76
Jul-15,66.67
Aug-15,86.49
Sep-15,90
Oct-15,71.29
Nov-15,87.77
Dec-15,77.86
Jan-16,60.93
Feb-16,87.09
Mar-16,82.58
Apr-16,73.95
May-16,76.68
Jun-16,75.68
Jul-16,67.17
Aug-16,95.52
Sep-16,96.48
Oct-16,88.48
Nov-16,97.94
Dec-16,97.15
Jan-17,85.95
Feb-17,49.65
Month-Year,100
